track_id,Punk
341,1
343,1
352,1
368,1
369,1
573,1
574,1
896,1
1270,1
1382,1
1730,1
2125,1
3467,1
3468,1
3469,1
3470,1
3472,1
3473,1
3476,1
3477,1
3478,1
3479,1
3501,1
3502,1
3503,1
3504,1
3505,1
3612,1
3613,1
3614,1
3616,1
3618,1
3620,1
3626,1
3855,1
3856,1
3857,1
3859,1
3863,1
4024,1
4025,1
4027,1
4028,1
4029,1
4032,1
4033,1
4034,1
4035,1
4038,1
4042,1
4043,1
4044,1
4045,1
4125,1
4126,1
4172,1
4181,1
4186,1
4264,1
4275,1
4276,1
4391,1
4394,1
4432,1
4463,1
4466,1
4468,1
4484,1
4490,1
4492,1
4996,1
4999,1
5002,1
5003,1
5006,1
5007,1
5238,1
5239,1
5240,1
5241,1
5243,1
5244,1
5246,1
5258,1
6274,1
7197,1
7198,1
7199,1
7201,1
7202,1
7203,1
7205,1
7495,1
7498,1
7502,1
7843,1
7853,1
7864,1
7865,1
7866,1
7868,1
7869,1
7870,1
7871,1
7873,1
7874,1
7875,1
7876,1
8023,1
8080,1
8081,1
8179,1
8188,1
8201,1
8205,1
8209,1
8210,1
8211,1
8212,1
8214,1
8216,1
8917,1
8920,1
8922,1
9491,1
9492,1
9493,1
9513,1
9654,1
9655,1
9656,1
9659,1
9958,1
9960,1
9961,1
9967,1
9968,1
10056,1
10062,1
10189,1
10833,1
10834,1
10843,1
10868,1
10879,1
10880,1
10884,1
10929,1
10932,1
10935,1
10938,1
10978,1
10979,1
10980,1
11030,1
11031,1
11032,1
11035,1
11039,1
11080,1
11081,1
11268,1
11458,1
11459,1
11723,1
11724,1
12308,1
12406,1
12407,1
12408,1
12409,1
12410,1
12412,1
12413,1
13555,1
13772,1
13913,1
13914,1
14099,1
14100,1
14101,1
14102,1
14103,1
14204,1
14207,1
14440,1
14489,1
14491,1
14492,1
14493,1
15257,1
15258,1
15261,1
15265,1
15266,1
15269,1
15304,1
15307,1
15755,1
16156,1
16181,1
16186,1
16288,1
16289,1
16296,1
16690,1
16691,1
16692,1
16694,1
16695,1
16696,1
16698,1
16699,1
16700,1
16701,1
16702,1
16848,1
17053,1
17057,1
17259,1
17321,1
17322,1
17323,1
17324,1
17325,1
17334,1
17342,1
17343,1
17445,1
17446,1
17447,1
17448,1
17449,1
17450,1
17452,1
17453,1
17454,1
17455,1
17456,1
17457,1
17460,1
17461,1
17463,1
17464,1
17579,1
17729,1
17734,1
17839,1
17840,1
17841,1
17842,1
17843,1
17854,1
17855,1
17856,1
17858,1
17891,1
17892,1
17895,1
17900,1
17908,1
17909,1
17913,1
17914,1
17915,1
18412,1
18444,1
18446,1
18787,1
18788,1
19390,1
19391,1
19392,1
19393,1
19401,1
19550,1
19657,1
19663,1
19664,1
20277,1
20341,1
20344,1
20345,1
20347,1
20443,1
20445,1
20446,1
20448,1
20484,1
20485,1
20486,1
20490,1
20961,1
20962,1
20963,1
20964,1
20965,1
20966,1
21080,1
21081,1
21184,1
21186,1
21187,1
21189,1
21191,1
21192,1
21193,1
21302,1
21522,1
22031,1
22032,1
22033,1
22048,1
22050,1
22100,1
22104,1
22110,1
22113,1
22116,1
22152,1
22333,1
22336,1
22340,1
22368,1
22370,1
22371,1
22550,1
22596,1
22597,1
22598,1
22599,1
22601,1
22602,1
22945,1
23041,1
23669,1
23678,1
24101,1
24654,1
26804,1
27340,1
27349,1
27350,1
27409,1
27426,1
27430,1
28065,1
28066,1
28067,1
28068,1
28069,1
28070,1
28071,1
28072,1
28691,1
28692,1
28765,1
28774,1
28781,1
28783,1
28916,1
28917,1
28918,1
29496,1
29501,1
29505,1
29621,1
29807,1
29808,1
29809,1
29810,1
29811,1
29813,1
29814,1
30071,1
30077,1
30083,1
30084,1
30133,1
30135,1
30137,1
30507,1
30508,1
30633,1
30865,1
31313,1
31316,1
31317,1
31326,1
31426,1
31434,1
31436,1
31440,1
31441,1
31446,1
32075,1
32076,1
32077,1
32078,1
32079,1
32080,1
32081,1
32083,1
32084,1
32085,1
32677,1
32678,1
32679,1
32681,1
32683,1
32684,1
32685,1
32767,1
32768,1
32771,1
32774,1
33986,1
33988,1
33989,1
33991,1
33992,1
33993,1
34579,1
34984,1
35284,1
36400,1
37319,1
37323,1
37588,1
37589,1
37590,1
37592,1
37630,1
37637,1
37876,1
38324,1
38325,1
38421,1
38422,1
38423,1
38517,1
38520,1
38521,1
38522,1
38523,1
38552,1
39434,1
39435,1
39436,1
39437,1
39438,1
39440,1
39765,1
39768,1
39769,1
39860,1
39863,1
39864,1
39866,1
40131,1
40132,1
40133,1
40134,1
40276,1
40279,1
