track_id,Old-Time/Historic
5009,1
5012,1
5015,1
5016,1
5017,1
5018,1
5019,1
5020,1
5021,1
5022,1
5023,1
5024,1
5026,1
5029,1
5030,1
5031,1
5032,1
5033,1
5034,1
5036,1
5038,1
5043,1
5044,1
10086,1
10089,1
10094,1
10099,1
10104,1
10357,1
10360,1
10364,1
10366,1
10367,1
10368,1
16348,1
16351,1
16352,1
16353,1
16365,1
16366,1
16369,1
16370,1
16371,1
16372,1
16374,1
16375,1
16376,1
16377,1
16378,1
16380,1
16381,1
16382,1
16383,1
16384,1
16385,1
16386,1
16387,1
16388,1
16389,1
16390,1
16391,1
16392,1
16393,1
16394,1
16398,1
16399,1
16401,1
16402,1
16403,1
16404,1
16405,1
16406,1
16421,1
16422,1
16423,1
16424,1
16425,1
16427,1
16428,1
16429,1
16430,1
16431,1
16432,1
17987,1
17988,1
17989,1
17990,1
17991,1
17992,1
17993,1
17994,1
17995,1
17997,1
17998,1
17999,1
18002,1
18003,1
18004,1
18006,1
18007,1
18008,1
18009,1
18010,1
18011,1
18012,1
18015,1
18016,1
18017,1
18018,1
18019,1
18020,1
18021,1
18022,1
18023,1
18024,1
18025,1
18027,1
18028,1
18030,1
18690,1
18692,1
18694,1
19582,1
19583,1
19587,1
19591,1
19592,1
19593,1
19601,1
19602,1
19603,1
19604,1
19605,1
19606,1
19607,1
19622,1
19623,1
19629,1
19630,1
19631,1
19633,1
19634,1
20084,1
20085,1
20086,1
20089,1
20091,1
20092,1
20093,1
20094,1
20096,1
20098,1
20099,1
20100,1
20101,1
20126,1
20127,1
20128,1
20131,1
20134,1
20135,1
20136,1
20137,1
20138,1
20143,1
20144,1
20145,1
20146,1
20147,1
20149,1
20152,1
20154,1
20155,1
20156,1
20158,1
20159,1
20162,1
20163,1
20165,1
20166,1
20168,1
20181,1
20197,1
20198,1
20199,1
20202,1
20204,1
20205,1
20206,1
20207,1
20208,1
20729,1
20730,1
20733,1
20734,1
20735,1
20736,1
20740,1
20741,1
20742,1
20744,1
20745,1
20746,1
20747,1
20748,1
20749,1
20750,1
20751,1
21129,1
21130,1
21131,1
21132,1
21133,1
21136,1
21137,1
21991,1
24544,1
24545,1
24546,1
24547,1
24548,1
24550,1
24551,1
24553,1
24554,1
24555,1
25140,1
25142,1
25143,1
25144,1
25145,1
25147,1
25148,1
25150,1
25151,1
25153,1
25154,1
25168,1
25170,1
25172,1
25177,1
25178,1
25179,1
31120,1
31121,1
