track_id,Rock
136,1
181,1
182,1
247,1
249,1
255,1
256,1
257,1
258,1
341,1
343,1
458,1
459,1
512,1
564,1
573,1
605,1
633,1
635,1
696,1
698,1
701,1
702,1
703,1
720,1
777,1
824,1
825,1
826,1
829,1
830,1
858,1
861,1
896,1
992,1
993,1
1014,1
1016,1
1017,1
1018,1
1028,1
1029,1
1040,1
1041,1
1087,1
1102,1
1105,1
1106,1
1107,1
1117,1
1118,1
1123,1
1125,1
1126,1
1130,1
1138,1
1147,1
1148,1
1149,1
1150,1
1156,1
1161,1
1162,1
1179,1
1201,1
1202,1
1203,1
1270,1
1279,1
1280,1
1289,1
1292,1
1298,1
1356,1
1358,1
1360,1
1361,1
1363,1
1366,1
1382,1
1383,1
1413,1
1417,1
1418,1
1419,1
1427,1
1450,1
1526,1
1528,1
1534,1
1607,1
1706,1
1720,1
1730,1
1783,1
1799,1
1804,1
1810,1
1831,1
1837,1
1883,1
1884,1
1888,1
1890,1
1891,1
1898,1
1900,1
1930,1
1940,1
1941,1
1944,1
1995,1
3401,1
3467,1
3468,1
3469,1
3470,1
3473,1
3475,1
3476,1
3477,1
3478,1
3489,1
3493,1
3495,1
3497,1
3499,1
3501,1
3502,1
3503,1
3505,1
3514,1
3515,1
3519,1
3520,1
3521,1
3522,1
3551,1
3579,1
3580,1
3582,1
3583,1
3584,1
3585,1
3604,1
3606,1
3612,1
3613,1
3614,1
3616,1
3618,1
3620,1
3624,1
3626,1
3638,1
3681,1
3698,1
3720,1
3721,1
3722,1
3723,1
3725,1
3761,1
3762,1
3763,1
3765,1
3766,1
3812,1
3833,1
3834,1
3835,1
3836,1
3839,1
3855,1
3856,1
3857,1
3859,1
3861,1
3923,1
3924,1
3929,1
3932,1
3933,1
3934,1
3939,1
3941,1
3942,1
3943,1
3944,1
3945,1
3946,1
3947,1
3948,1
3952,1
3953,1
3954,1
3955,1
3957,1
3959,1
3960,1
3973,1
3974,1
3975,1
3981,1
3983,1
3986,1
3989,1
4004,1
4022,1
4024,1
4025,1
4027,1
4028,1
4029,1
4032,1
4033,1
4035,1
4042,1
4043,1
4084,1
4104,1
4105,1
4108,1
4109,1
4110,1
4111,1
4119,1
4125,1
4126,1
4133,1
4159,1
4160,1
4161,1
4167,1
4170,1
4172,1
4176,1
4186,1
4193,1
4194,1
4195,1
4197,1
4201,1
4202,1
4215,1
4216,1
4217,1
4218,1
4219,1
4264,1
4267,1
4275,1
4276,1
4284,1
4297,1
4298,1
4299,1
4300,1
4302,1
4309,1
4310,1
4311,1
4312,1
4313,1
4316,1
4330,1
4333,1
4348,1
4363,1
4368,1
4394,1
4396,1
4401,1
4403,1
4408,1
4409,1
4410,1
4432,1
4443,1
4463,1
4468,1
4469,1
4484,1
4492,1
4500,1
4501,1
4709,1
4712,1
4760,1
4761,1
4762,1
4766,1
4767,1
4768,1
4771,1
4777,1
4778,1
4779,1
4780,1
4781,1
4784,1
4785,1
4786,1
4787,1
4788,1
4791,1
4793,1
4798,1
4799,1
4800,1
4801,1
4802,1
4803,1
4829,1
4835,1
4837,1
4838,1
4841,1
4996,1
4999,1
5002,1
5003,1
5006,1
5079,1
5104,1
5147,1
5148,1
5149,1
5152,1
5153,1
5160,1
5162,1
5219,1
5220,1
5221,1
5223,1
5224,1
5227,1
5237,1
5238,1
5239,1
5240,1
5241,1
5242,1
5243,1
5244,1
5245,1
5258,1
5273,1
5275,1
5276,1
5277,1
5283,1
5285,1
5286,1
5399,1
5477,1
5510,1
5570,1
5577,1
5601,1
6274,1
6275,1
6276,1
6517,1
6519,1
6520,1
6522,1
6524,1
6525,1
6527,1
6528,1
6529,1
6530,1
6533,1
6536,1
6537,1
6593,1
6595,1
6596,1
6597,1
6598,1
6600,1
6602,1
6627,1
6631,1
6632,1
6633,1
6635,1
6669,1
6671,1
6672,1
6673,1
6717,1
6718,1
6719,1
6734,1
6735,1
6776,1
6777,1
6788,1
6831,1
6832,1
6850,1
7192,1
7193,1
7194,1
7195,1
7199,1
7201,1
7202,1
7203,1
7208,1
7210,1
7211,1
7213,1
7262,1
7452,1
7455,1
7457,1
7459,1
7460,1
7475,1
7495,1
7498,1
7502,1
7777,1
7778,1
7780,1
7781,1
7782,1
7843,1
7853,1
7864,1
7865,1
7867,1
7868,1
7869,1
7870,1
7871,1
7872,1
7873,1
7874,1
7875,1
7876,1
8017,1
8023,1
8044,1
8056,1
8057,1
8058,1
8061,1
8064,1
8080,1
8081,1
8179,1
8188,1
8201,1
8204,1
8205,1
8209,1
8210,1
8212,1
8214,1
8216,1
8279,1
8280,1
8450,1
8451,1
8452,1
8453,1
8454,1
8455,1
8489,1
8490,1
8491,1
8494,1
8497,1
8514,1
8531,1
8575,1
8576,1
8578,1
8914,1
8917,1
8920,1
8921,1
8922,1
9188,1
9491,1
9492,1
9493,1
9513,1
9514,1
9516,1
9517,1
9551,1
9552,1
9553,1
9554,1
9555,1
9556,1
9557,1
9558,1
9559,1
9561,1
9640,1
9654,1
9656,1
9658,1
9659,1
9662,1
9663,1
9664,1
9735,1
9844,1
9863,1
9866,1
9867,1
9956,1
9958,1
9960,1
9961,1
9962,1
9967,1
9968,1
9985,1
9987,1
9988,1
9989,1
9990,1
9991,1
9992,1
9993,1
9995,1
9996,1
9998,1
9999,1
10000,1
10001,1
10002,1
10003,1
10004,1
10005,1
10008,1
10056,1
10062,1
10147,1
10148,1
10149,1
10150,1
10151,1
10153,1
10155,1
10157,1
10160,1
10165,1
10180,1
10189,1
10190,1
10213,1
10668,1
10669,1
10670,1
10671,1
10672,1
10674,1
10676,1
10677,1
10824,1
10826,1
10830,1
10833,1
10834,1
10843,1
10868,1
10879,1
10883,1
10884,1
10885,1
10929,1
10930,1
10933,1
10934,1
10935,1
10936,1
10937,1
10978,1
10979,1
10980,1
11030,1
11032,1
11033,1
11035,1
11036,1
11037,1
11039,1
11080,1
11081,1
11205,1
11246,1
11264,1
11268,1
11285,1
11293,1
11305,1
11410,1
11412,1
11417,1
11437,1
11446,1
11454,1
11457,1
11458,1
11459,1
11541,1
11713,1
11723,1
11914,1
11933,1
11936,1
11938,1
11940,1
11954,1
12113,1
12114,1
12115,1
12175,1
12182,1
12308,1
12354,1
12356,1
12365,1
12367,1
12399,1
12402,1
12407,1
12408,1
12409,1
12412,1
12419,1
12420,1
12421,1
12422,1
12423,1
12424,1
12425,1
12448,1
12451,1
12533,1
12538,1
12539,1
12554,1
12556,1
12594,1
12595,1
12596,1
12597,1
12598,1
12599,1
12600,1
12601,1
12608,1
12610,1
12611,1
13217,1
13221,1
13327,1
13330,1
13446,1
13451,1
13470,1
13551,1
13555,1
13556,1
13559,1
13560,1
13563,1
13567,1
13595,1
13596,1
13661,1
13664,1
13666,1
13761,1
13762,1
13763,1
13764,1
13766,1
13776,1
13863,1
13864,1
13867,1
13879,1
13891,1
13895,1
13913,1
13914,1
14099,1
14101,1
