track_id,Metal
256,1
257,1
258,1
1014,1
1015,1
1016,1
1017,1
1018,1
3727,1
6716,1
6717,1
6718,1
6719,1
6734,1
6735,1
6776,1
6777,1
6778,1
7777,1
7778,1
7779,1
7780,1
7781,1
7782,1
11647,1
11711,1
11712,1
11713,1
12594,1
12595,1
12596,1
12597,1
12598,1
12599,1
12600,1
12601,1
12608,1
12609,1
12610,1
12611,1
12614,1
13595,1
16209,1
16210,1
17735,1
19644,1
19647,1
19648,1
19649,1
19735,1
19737,1
19738,1
19741,1
19742,1
19790,1
19791,1
19793,1
19794,1
22342,1
22344,1
25236,1
25237,1
25238,1
28916,1
28917,1
28918,1
29932,1
29933,1
29934,1
29936,1
29937,1
31160,1
31257,1
31260,1
31261,1
32458,1
32459,1
32460,1
32461,1
32462,1
37145,1
37147,1
37326,1
37327,1
37329,1
37330,1
37331,1
37587,1
37588,1
37589,1
37590,1
37591,1
37592,1
40131,1
40132,1
40133,1
40134,1
41865,1
41874,1
41876,1
41880,1
41881,1
41882,1
41883,1
42044,1
44194,1
44195,1
44196,1
44197,1
44198,1
44199,1
44200,1
44201,1
44202,1
44203,1
44204,1
44205,1
44206,1
44207,1
44275,1
44276,1
44277,1
44278,1
44279,1
44280,1
44281,1
44282,1
44283,1
44284,1
44285,1
44286,1
44287,1
46080,1
46135,1
46136,1
46137,1
47463,1
47464,1
47465,1
47466,1
47467,1
47468,1
47469,1
47470,1
47471,1
47499,1
47500,1
47501,1
47502,1
47503,1
48087,1
48088,1
48089,1
48090,1
48091,1
48092,1
48367,1
48368,1
48369,1
48730,1
50270,1
50284,1
50752,1
50753,1
50754,1
51595,1
51596,1
51597,1
51598,1
51599,1
51600,1
51601,1
51602,1
51603,1
51604,1
52473,1
52474,1
52475,1
52476,1
52477,1
52478,1
52479,1
54621,1
54622,1
54623,1
54624,1
54625,1
54626,1
54932,1
54934,1
54935,1
54937,1
54938,1
54939,1
54942,1
56552,1
56553,1
56554,1
56555,1
56558,1
56559,1
56836,1
56837,1
56839,1
56840,1
56841,1
56842,1
57680,1
57882,1
57883,1
57884,1
57886,1
57887,1
57888,1
57890,1
57891,1
57892,1
58333,1
58334,1
58525,1
58526,1
58528,1
58531,1
63112,1
63113,1
63114,1
63115,1
63116,1
63117,1
63468,1
63469,1
63470,1
63471,1
63472,1
66403,1
66404,1
66405,1
67768,1
67769,1
70809,1
70811,1
70813,1
71613,1
71614,1
71615,1
71616,1
71617,1
71618,1
71619,1
71620,1
71621,1
71622,1
74908,1
74910,1
74912,1
74914,1
74915,1
74916,1
74919,1
75220,1
75221,1
75222,1
75223,1
75224,1
75225,1
75226,1
75227,1
75228,1
75229,1
75230,1
75231,1
75232,1
75233,1
75234,1
75235,1
75236,1
75237,1
75238,1
75239,1
75240,1
75244,1
75247,1
75248,1
75264,1
75265,1
75266,1
75267,1
75268,1
75269,1
75270,1
75271,1
75272,1
75273,1
75274,1
75275,1
75285,1
75286,1
75289,1
75290,1
75292,1
75293,1
75294,1
83789,1
83790,1
83791,1
84743,1
86417,1
86419,1
86788,1
86987,1
86988,1
86989,1
86990,1
86991,1
86992,1
86993,1
87151,1
87152,1
87153,1
87154,1
87155,1
87430,1
87431,1
90404,1
90406,1
90408,1
90411,1
90649,1
90652,1
90690,1
90691,1
90692,1
90693,1
90694,1
90695,1
91357,1
91366,1
96399,1
96400,1
96401,1
96402,1
96403,1
96709,1
96710,1
96711,1
96712,1
96713,1
96714,1
96715,1
96716,1
96717,1
96718,1
99345,1
101067,1
101068,1
101069,1
101070,1
101086,1
101088,1
101089,1
101093,1
101095,1
105141,1
105142,1
105143,1
105144,1
105145,1
106199,1
106953,1
106954,1
106955,1
106956,1
107384,1
107385,1
107386,1
107387,1
107388,1
107389,1
107390,1
107391,1
107805,1
108037,1
108038,1
112065,1
112066,1
112313,1
112314,1
112315,1
112316,1
112317,1
112318,1
112733,1
112734,1
112735,1
113521,1
113522,1
113523,1
113524,1
113525,1
113526,1
113527,1
113528,1
113529,1
113530,1
114198,1
114199,1
114200,1
114201,1
115735,1
115761,1
115762,1
115764,1
115765,1
115766,1
118327,1
118328,1
118329,1
118330,1
119564,1
119565,1
119566,1
119567,1
119569,1
119570,1
119571,1
119574,1
123276,1
123277,1
123278,1
124184,1
124185,1
124186,1
124457,1
124458,1
124459,1
124460,1
124461,1
127241,1
127242,1
127243,1
127244,1
127245,1
127246,1
127716,1
127720,1
130684,1
130685,1
130686,1
130687,1
130688,1
130689,1
130690,1
130691,1
130692,1
130693,1
131551,1
131552,1
131553,1
131554,1
136400,1
136401,1
136402,1
136403,1
136404,1
137356,1
137578,1
137579,1
137581,1
137582,1
137583,1
137584,1
137585,1
137586,1
137587,1
137588,1
137589,1
137590,1
137591,1
137592,1
137593,1
137624,1
137625,1
