track_id,Hip-Hop
2,1
3,1
583,1
585,1
668,1
672,1
673,1
676,1
677,1
679,1
680,1
681,1
684,1
694,1
695,1
4682,1
4683,1
4684,1
4685,1
4686,1
4687,1
4688,1
5264,1
5265,1
5267,1
5268,1
5269,1
5270,1
6439,1
6440,1
6442,1
6443,1
6448,1
6603,1
6605,1
6606,1
6607,1
6608,1
6609,1
6610,1
6611,1
7481,1
7482,1
7483,1
7484,1
7485,1
7487,1
7488,1
7489,1
7490,1
7492,1
9798,1
9851,1
9852,1
9853,1
9875,1
10192,1
10693,1
10694,1
10695,1
10696,1
10697,1
10698,1
10942,1
10943,1
10945,1
10947,1
10951,1
10952,1
11204,1
11298,1
11763,1
11764,1
11765,1
11766,1
11767,1
11768,1
11769,1
11771,1
11772,1
11774,1
11775,1
11776,1
11777,1
11778,1
11779,1
11780,1
11783,1
11786,1
11787,1
11789,1
11790,1
11791,1
11793,1
11794,1
11795,1
11796,1
11799,1
11803,1
11808,1
11812,1
11813,1
11815,1
11816,1
11818,1
11819,1
11828,1
11829,1
11830,1
11832,1
11834,1
11836,1
11838,1
11840,1
11857,1
11858,1
11859,1
11861,1
11862,1
11863,1
11866,1
11867,1
11868,1
11869,1
11875,1
11879,1
11881,1
11883,1
11886,1
11888,1
11889,1
11890,1
11892,1
11893,1
11894,1
11895,1
11896,1
11897,1
11898,1
11899,1
11916,1
11918,1
11919,1
11920,1
11921,1
11922,1
11941,1
11976,1
12183,1
12194,1
12369,1
12381,1
12394,1
12523,1
12526,1
12531,1
13199,1
13201,1
13209,1
13331,1
13561,1
13591,1
13592,1
13593,1
13670,1
13735,1
13742,1
13744,1
13747,1
13748,1
13749,1
13767,1
13804,1
13805,1
14073,1
14358,1
14359,1
14360,1
14361,1
14363,1
14364,1
14365,1
14366,1
14379,1
14380,1
14386,1
14388,1
14389,1
14390,1
14391,1
14538,1
14539,1
14540,1
14542,1
14543,1
15145,1
15148,1
15149,1
15152,1
15201,1
15202,1
15204,1
15207,1
15208,1
15209,1
15210,1
15211,1
15213,1
15482,1
15493,1
15857,1
15858,1
15859,1
15860,1
15863,1
15864,1
15866,1
15867,1
15869,1
15871,1
16161,1
16164,1
16546,1
16878,1
16879,1
17488,1
17490,1
17491,1
17493,1
17495,1
17497,1
17499,1
17500,1
17782,1
18085,1
18215,1
18217,1
18222,1
18226,1
18227,1
18823,1
19427,1
19438,1
19729,1
20234,1
20457,1
20458,1
20461,1
20469,1
21228,1
22021,1
22022,1
22088,1
22091,1
22295,1
22296,1
23034,1
