track_id,Pop
213,1
823,1
1642,1
1644,1
1649,1
1661,1
1663,1
3533,1
3534,1
3536,1
3537,1
3538,1
5178,1
5191,1
5196,1
7527,1
7528,1
7529,1
10805,1
10806,1
10807,1
10808,1
10809,1
10810,1
11198,1
11199,1
11200,1
11937,1
12147,1
12179,1
12188,1
12376,1
12387,1
12390,1
12518,1
12527,1
12530,1
12532,1
12537,1
12551,1
12552,1
12654,1
13191,1
13197,1
13218,1
13220,1
13328,1
13329,1
13362,1
13378,1
13558,1
16095,1
16155,1
16158,1
16163,1
16337,1
16338,1
16339,1
16340,1
16896,1
17344,1
17345,1
17906,1
18144,1
18145,1
18146,1
18589,1
18592,1
19073,1
19074,1
19412,1
19413,1
19415,1
19416,1
19417,1
19418,1
19420,1
19421,1
19422,1
19423,1
19425,1
19441,1
19442,1
19689,1
19758,1
19759,1
19760,1
19761,1
20704,1
20705,1
20707,1
21231,1
21232,1
21400,1
21401,1
21402,1
21403,1
21404,1
21405,1
21409,1
21565,1
21569,1
21652,1
21657,1
21676,1
21677,1
21695,1
21995,1
21996,1
21997,1
21998,1
22000,1
22001,1
22097,1
22348,1
22473,1
22474,1
22476,1
22477,1
22478,1
22479,1
22480,1
22481,1
23039,1
25055,1
25104,1
25124,1
25996,1
26169,1
26171,1
26177,1
26178,1
26179,1
26298,1
26409,1
26740,1
26744,1
26764,1
26765,1
27164,1
27431,1
27435,1
27548,1
27549,1
27551,1
27797,1
27802,1
27805,1
28477,1
28478,1
28479,1
28480,1
28483,1
28484,1
28485,1
28608,1
28609,1
28802,1
29045,1
29046,1
29047,1
29128,1
29187,1
29243,1
29245,1
29253,1
29267,1
29271,1
30486,1
30487,1
30488,1
32327,1
32328,1
32329,1
32330,1
32331,1
32332,1
32333,1
32334,1
32336,1
32337,1
32338,1
32339,1
32340,1
32759,1
32760,1
34511,1
35182,1
35183,1
35186,1
35545,1
35549,1
35550,1
35551,1
35608,1
36371,1
36388,1
36553,1
36560,1
36561,1
36614,1
36615,1
36616,1
36618,1
36619,1
36643,1
36961,1
36963,1
36964,1
36966,1
37136,1
37324,1
37325,1
37369,1
38961,1
39530,1
39536,1
39658,1
39659,1
39661,1
39662,1
39663,1
39664,1
39666,1
39667,1
41375,1
41381,1
41568,1
41819,1
41820,1
41823,1
41825,1
42048,1
42269,1
42276,1
42751,1
42901,1
42907,1
42911,1
42913,1
44056,1
44057,1
44805,1
44806,1
44809,1
45117,1
45119,1
45122,1
45125,1
45126,1
45127,1
45335,1
46331,1
46732,1
46733,1
46736,1
46839,1
46840,1
46841,1
46842,1
46843,1
46844,1
46846,1
46851,1
46854,1
46855,1
46856,1
46927,1
46928,1
46930,1
46935,1
46936,1
47100,1
47665,1
47666,1
47670,1
47671,1
47835,1
47894,1
47895,1
47896,1
47897,1
48444,1
48446,1
48448,1
48449,1
48452,1
48453,1
48454,1
48456,1
48457,1
49039,1
49473,1
49477,1
50272,1
51120,1
51260,1
51261,1
51262,1
51264,1
51265,1
51266,1
51267,1
51269,1
51271,1
51272,1
51273,1
51274,1
51276,1
51278,1
51291,1
51292,1
52034,1
52035,1
52036,1
52037,1
52038,1
52039,1
52041,1
52042,1
52043,1
52044,1
52045,1
52375,1
52378,1
52380,1
52387,1
52389,1
53228,1
53229,1
53591,1
53937,1
54031,1
54032,1
54034,1
54036,1
54037,1
54040,1
54236,1
54237,1
54664,1
54665,1
54666,1
54667,1
55076,1
55286,1
55287,1
55288,1
55289,1
55290,1
55291,1
55292,1
55293,1
55294,1
55430,1
55436,1
56247,1
56248,1
56249,1
56274,1
56895,1
57078,1
57178,1
57179,1
57180,1
57435,1
57437,1
57439,1
58115,1
58117,1
58161,1
58163,1
58164,1
58166,1
58167,1
58168,1
58169,1
58170,1
58173,1
58174,1
59443,1
59445,1
59446,1
59448,1
59450,1
59451,1
59453,1
59454,1
61587,1
61588,1
61589,1
61590,1
61591,1
61592,1
61679,1
61734,1
61736,1
61738,1
61740,1
62157,1
62160,1
62162,1
62163,1
62164,1
62436,1
62448,1
62449,1
62450,1
62452,1
62742,1
62748,1
62749,1
62750,1
62751,1
62753,1
63224,1
63225,1
63226,1
63999,1
64005,1
64006,1
64007,1
64008,1
64009,1
64079,1
64364,1
64365,1
64366,1
64787,1
64789,1
64796,1
64832,1
64834,1
64836,1
64840,1
64841,1
66640,1
66641,1
66643,1
66644,1
66646,1
66648,1
66649,1
66650,1
66782,1
67007,1
67331,1
67332,1
67334,1
67336,1
67358,1
67359,1
67360,1
67361,1
67362,1
67363,1
67365,1
67367,1
67368,1
67760,1
68353,1
68354,1
68355,1
68356,1
69182,1
69188,1
69744,1
69745,1
69746,1
69747,1
70423,1
70424,1
70425,1
70426,1
70873,1
70874,1
70875,1
70877,1
70879,1
71709,1
72476,1
72514,1
73465,1
73466,1
73467,1
73468,1
73469,1
73792,1
73921,1
74002,1
75191,1
75194,1
75195,1
75196,1
75310,1
75314,1
75317,1
75318,1
76128,1
76129,1
77564,1
77572,1
83509,1
83511,1
83512,1
83513,1
84605,1
84817,1
85308,1
85309,1
85310,1
85311,1
85419,1
85420,1
85421,1
85422,1
85423,1
85424,1
85425,1
85426,1
85427,1
85428,1
85592,1
85593,1
85594,1
85595,1
85596,1
85598,1
85599,1
85600,1
85951,1
85952,1
85953,1
85954,1
85956,1
85957,1
86116,1
86119,1
86634,1
87185,1
87186,1
87187,1
87188,1
87189,1
87190,1
87191,1
87192,1
87194,1
87322,1
87324,1
88428,1
88429,1
90570,1
90573,1
90577,1
90578,1
90579,1
90582,1
90583,1
90584,1
90586,1
90587,1
90588,1
90589,1
90590,1
90591,1
90592,1
90826,1
90827,1
90828,1
90834,1
91157,1
91158,1
91160,1
91161,1
91162,1
91163,1
91164,1
91468,1
91469,1
91470,1
92124,1
92130,1
92131,1
93942,1
93943,1
94423,1
94629,1
94631,1
94632,1
94633,1
94634,1
94635,1
94638,1
95475,1
95486,1
96944,1
96945,1
96946,1
104065,1
104066,1
104779,1
104780,1
107047,1
107048,1
107049,1
107050,1
108425,1
108426,1
108427,1
108428,1
108429,1
108456,1
108457,1
108459,1
108460,1
108461,1
109957,1
109960,1
109962,1
109963,1
109971,1
109972,1
109973,1
109974,1
109975,1
109976,1
109977,1
109978,1
111367,1
111368,1
111371,1
111372,1
111375,1
111376,1
111377,1
111379,1
111380,1
111381,1
111382,1
111383,1
111384,1
111385,1
111388,1
111389,1
111391,1
111392,1
111393,1
111394,1
111395,1
111396,1
111398,1
111400,1
111402,1
113017,1
113019,1
113020,1
113022,1
113023,1
113024,1
113026,1
113027,1
113028,1
113808,1
113810,1
113932,1
113933,1
113935,1
117472,1
119187,1
119584,1
119587,1
119592,1
119594,1
120095,1
120099,1
120105,1
120109,1
120111,1
120121,1
120179,1
120182,1
120183,1
120184,1
120185,1
120188,1
120189,1
120191,1
120194,1
120196,1
120200,1
