track_id,title_Classical,title_Dance,title_Electronic,title_Experimental,title_Hip-Hop,title_Metal,title_Old-Time / Historic,title_Pop,title_Punk,title_Rock,title_Techno
257,0,0,0,0,0,1,0,0,0,1,0
564,0,0,0,0,0,0,0,0,0,1,0
583,0,0,0,0,1,0,0,0,0,0,0
672,0,0,0,0,1,0,0,0,0,0,0
680,0,0,0,0,1,0,0,0,0,0,0
694,0,0,0,0,1,0,0,0,0,0,0
819,0,0,0,1,0,0,0,0,0,0,0
822,0,0,0,0,0,0,0,1,0,0,0
824,0,0,0,0,0,0,0,0,0,1,0
898,0,0,0,1,0,0,0,0,0,0,0
1016,0,0,0,0,0,1,0,0,0,1,0
1018,0,0,0,0,0,1,0,0,0,1,0
1069,0,0,0,1,0,0,0,0,0,0,0
1075,0,0,0,1,0,0,0,0,0,0,0
1095,0,0,0,1,0,0,0,0,0,0,0
1108,0,0,0,0,0,0,0,0,0,1,0
1131,0,0,0,0,0,0,0,0,0,1,0
1179,0,0,0,0,0,0,0,0,0,1,0
1363,0,0,0,0,0,0,0,0,0,1,0
1443,0,0,0,1,0,0,0,0,0,0,0
1510,0,0,0,1,0,0,0,0,0,0,0
1644,0,0,0,0,0,0,0,1,0,0,0
1649,0,0,0,0,0,0,0,1,0,0,0
1663,0,0,0,0,0,0,0,1,0,0,0
1674,0,0,0,1,0,0,0,0,0,0,0
2096,0,0,0,1,0,0,0,0,0,0,0
3469,0,0,0,0,0,0,0,0,1,1,0
3478,0,0,0,0,0,0,0,0,1,1,0
3533,0,0,0,0,0,0,0,1,0,0,0
3536,0,0,0,0,0,0,0,1,0,0,0
3558,0,0,1,0,0,0,0,0,0,0,0
3606,0,0,0,0,0,0,0,0,0,1,0
3833,0,0,0,0,0,0,0,0,0,1,0
3863,0,0,0,0,0,0,0,0,1,1,0
3956,0,0,0,0,0,0,0,0,0,1,0
4022,0,0,0,0,0,0,0,0,1,1,0
4043,0,0,0,0,0,0,0,0,1,1,0
4133,0,0,0,0,0,0,0,0,1,1,0
4202,0,0,0,0,0,0,0,0,0,1,0
4311,0,0,0,0,0,0,0,0,0,1,0
4490,0,0,0,0,0,0,0,0,1,1,0
4683,0,0,0,0,1,0,0,0,0,0,0
4752,0,0,0,0,0,0,0,0,0,1,0
4755,0,0,0,1,0,0,0,0,0,0,0
4757,0,0,0,1,0,0,0,0,0,0,0
4781,0,0,0,0,0,0,0,0,0,1,0
4836,0,0,0,0,0,0,0,0,0,1,0
4851,1,0,0,0,0,0,0,0,0,0,0
5009,0,0,0,0,0,0,1,0,0,0,0
5013,0,0,0,0,0,0,1,0,0,0,0
5016,0,0,0,0,0,0,1,0,0,0,0
5017,0,0,0,0,0,0,1,0,0,0,0
5019,0,0,0,0,0,0,1,0,0,0,0
5021,0,0,0,0,0,0,1,0,0,0,0
5023,0,0,0,0,0,0,1,0,0,0,0
5029,0,0,0,0,0,0,1,0,0,0,0
5030,0,0,0,0,0,0,1,0,0,0,0
5033,0,0,0,0,0,0,1,0,0,0,0
5036,0,0,0,0,0,0,1,0,0,0,0
5038,0,0,0,0,0,0,1,0,0,0,0
5044,0,0,0,0,0,0,1,0,0,0,0
5152,0,0,0,0,0,0,0,0,0,1,0
5178,0,0,0,0,0,0,0,1,0,0,0
5191,0,0,0,0,0,0,0,1,0,0,0
5258,0,0,0,0,0,0,0,0,1,1,0
5264,0,0,0,0,1,0,0,0,0,0,0
5267,0,0,0,0,1,0,0,0,0,0,0
5533,0,0,0,1,0,0,0,0,0,0,0
6439,0,0,0,0,1,0,0,0,0,0,0
6609,0,0,0,0,1,0,0,0,0,0,0
6611,0,0,0,0,1,0,0,0,0,0,0
6675,0,0,0,1,0,0,0,0,0,0,0
6716,0,0,0,0,0,1,0,0,0,1,0
6718,0,0,0,0,0,1,0,0,0,1,0
6734,0,0,0,0,0,1,0,0,0,1,0
6761,0,0,1,0,0,0,0,0,0,0,0
6777,0,0,0,0,0,1,0,0,0,1,0
7203,0,0,0,0,0,0,0,0,1,1,0
7208,0,0,0,0,0,0,0,0,0,1,0
7259,0,0,0,0,0,0,0,0,0,1,0
7375,0,0,0,1,0,0,0,0,0,0,0
7383,0,0,0,1,0,0,0,0,0,0,0
7482,0,0,0,0,1,0,0,0,0,0,0
7485,0,0,0,0,1,0,0,0,0,0,0
7490,0,0,0,0,1,0,0,0,0,0,0
7526,0,0,0,0,0,0,0,1,0,0,0
7528,0,0,0,0,0,0,0,1,0,0,0
7549,0,0,0,1,0,0,0,0,0,0,0
7553,0,0,0,1,0,0,0,0,0,0,0
7555,0,0,0,1,0,0,0,0,0,0,0
7777,0,0,0,0,0,1,0,0,0,1,0
7779,0,0,0,0,0,1,0,0,0,1,0
7780,0,0,0,0,0,1,0,0,0,1,0
7782,0,0,0,0,0,1,0,0,0,1,0
7874,0,0,0,0,0,0,0,0,1,1,0
8331,0,0,0,1,0,0,0,0,0,0,0
8345,0,0,0,1,0,0,0,0,0,0,0
8349,0,0,0,1,0,0,0,0,0,0,0
8364,0,0,0,1,0,0,0,0,0,0,0
8376,0,0,0,1,0,0,0,0,0,0,0
8416,0,0,0,1,0,0,0,0,0,0,0
8578,0,0,0,0,0,0,0,0,0,1,0
9477,0,0,0,1,0,0,0,0,0,0,0
9505,0,0,0,1,0,0,0,0,0,0,0
9513,0,0,0,0,0,0,0,0,1,1,0
