track_id,Electronic
397,1
398,1
399,1
400,1
405,1
414,1
550,1
664,1
665,1
878,1
881,1
889,1
1085,1
1086,1
1088,1
1089,1
1121,1
1339,1
1481,1
1482,1
1483,1
1485,1
1547,1
1548,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,1
1556,1
1634,1
1635,1
1638,1
1640,1
1677,1
1678,1
3268,1
3452,1
3453,1
3454,1
3455,1
3458,1
3557,1
3558,1
3559,1
3560,1
3561,1
3563,1
3564,1
3566,1
3567,1
3568,1
3569,1
3570,1
3571,1
3572,1
3573,1
3574,1
4519,1
4520,1
4521,1
4522,1
4691,1
4692,1
4695,1
4698,1
4699,1
4700,1
4701,1
4702,1
4707,1
4708,1
5319,1
5320,1
5321,1
5325,1
5337,1
5340,1
5341,1
5342,1
5343,1
5344,1
5345,1
5346,1
5348,1
5354,1
5371,1
5440,1
6654,1
6655,1
6656,1
6657,1
6658,1
6660,1
6661,1
6662,1
6663,1
6664,1
6666,1
6752,1
6753,1
6755,1
6757,1
6758,1
6759,1
6760,1
6761,1
6765,1
6770,1
7011,1
7012,1
7013,1
7014,1
7015,1
7016,1
7020,1
7021,1
7541,1
7542,1
7543,1
7544,1
7545,1
7546,1
7762,1
7764,1
7768,1
9800,1
9823,1
10107,1
10108,1
10111,1
10112,1
10118,1
10119,1
10120,1
10124,1
10125,1
10127,1
10128,1
10129,1
10130,1
10132,1
10187,1
10191,1
10427,1
10621,1
10623,1
10627,1
10630,1
10631,1
10728,1
11201,1
11206,1
11262,1
11266,1
11608,1
11609,1
11934,1
11942,1
11986,1
11987,1
11988,1
11989,1
11992,1
12074,1
12081,1
12083,1
12084,1
12090,1
12095,1
12171,1
12189,1
12193,1
12195,1
12196,1
12199,1
12338,1
12339,1
12372,1
12375,1
12378,1
12388,1
12392,1
12396,1
12517,1
12520,1
12534,1
12535,1
12588,1
12589,1
12590,1
12591,1
12592,1
12987,1
12988,1
12989,1
12990,1
12991,1
12993,1
12994,1
12995,1
12996,1
12997,1
13115,1
13116,1
13118,1
13119,1
13120,1
13121,1
13122,1
13123,1
13124,1
13125,1
13126,1
13127,1
13128,1
13192,1
13196,1
13224,1
13225,1
13363,1
13365,1
13366,1
13367,1
13369,1
13440,1
13442,1
13472,1
13474,1
13557,1
13562,1
13571,1
13589,1
13590,1
13598,1
13649,1
13668,1
13672,1
13673,1
13706,1
13707,1
13708,1
13709,1
13710,1
13711,1
13833,1
13834,1
13835,1
13838,1
13839,1
14063,1
14064,1
14065,1
14066,1
14067,1
14068,1
14069,1
14070,1
14071,1
14072,1
14075,1
14076,1
14077,1
14078,1
14079,1
14080,1
14081,1
14082,1
14083,1
14084,1
14085,1
14086,1
14087,1
14088,1
14104,1
14105,1
14107,1
14110,1
14208,1
14209,1
14210,1
14211,1
14212,1
14213,1
14340,1
14341,1
14342,1
14343,1
14344,1
14345,1
14346,1
14347,1
14348,1
14477,1
14478,1
14479,1
14481,1
14494,1
14498,1
14652,1
14666,1
14667,1
14668,1
14669,1
14670,1
14671,1
14672,1
14673,1
14674,1
14675,1
14676,1
14677,1
14678,1
14679,1
14680,1
14681,1
14682,1
14773,1
14775,1
14776,1
14778,1
14780,1
14783,1
14791,1
14792,1
14793,1
14794,1
14795,1
14796,1
14798,1
14799,1
14800,1
14801,1
14802,1
14803,1
14818,1
14820,1
14824,1
14862,1
14863,1
14866,1
14867,1
14868,1
14869,1
14870,1
14871,1
14874,1
14876,1
14877,1
14879,1
14909,1
14918,1
14920,1
14921,1
14922,1
14944,1
14945,1
14946,1
14948,1
14949,1
14960,1
