track_id,Dance
11608,1
11609,1
12534,1
13115,1
13116,1
13118,1
13119,1
13120,1
13121,1
13122,1
13123,1
13124,1
13125,1
13126,1
13127,1
13128,1
15960,1
15961,1
15962,1
15963,1
15964,1
15965,1
15966,1
15967,1
15968,1
15970,1
16580,1
16581,1
16582,1
16583,1
16584,1
16585,1
16586,1
16587,1
16588,1
16589,1
16590,1
16591,1
16592,1
21158,1
21159,1
21160,1
21161,1
21162,1
21163,1
21164,1
21165,1
21166,1
21167,1
21168,1
21169,1
21701,1
22432,1
22433,1
22434,1
22435,1
22436,1
22437,1
28170,1
28171,1
28172,1
28173,1
28174,1
28175,1
28176,1
28177,1
28178,1
28179,1
29037,1
29039,1
29040,1
29041,1
29042,1
29043,1
29044,1
30518,1
30519,1
30520,1
30521,1
30522,1
30893,1
30894,1
30895,1
30897,1
30898,1
30899,1
30900,1
30901,1
30902,1
30903,1
30904,1
30905,1
32214,1
32215,1
32216,1
33211,1
33212,1
33213,1
33214,1
33215,1
33216,1
33217,1
33218,1
33219,1
33220,1
33221,1
33223,1
33238,1
33239,1
33240,1
33241,1
33242,1
33243,1
34438,1
34439,1
34440,1
34441,1
34512,1
34513,1
34515,1
34516,1
34517,1
34518,1
34519,1
34520,1
34521,1
34522,1
34523,1
34524,1
34525,1
34526,1
34527,1
34528,1
34529,1
34530,1
37131,1
37957,1
37958,1
37959,1
37960,1
37961,1
37962,1
37963,1
39291,1
40771,1
40772,1
40778,1
40779,1
40780,1
40781,1
40782,1
40783,1
40784,1
40798,1
40799,1
40808,1
40809,1
40810,1
43313,1
43314,1
43315,1
43316,1
44340,1
49581,1
49582,1
49583,1
49584,1
49585,1
51022,1
51023,1
53859,1
53860,1
53861,1
53862,1
53863,1
56028,1
56029,1
56034,1
56036,1
58210,1
59917,1
62324,1
62326,1
62327,1
62328,1
62329,1
62330,1
62331,1
62332,1
62333,1
62334,1
62335,1
62336,1
63965,1
63966,1
63967,1
63968,1
63969,1
63970,1
63971,1
63972,1
63973,1
64331,1
64332,1
64333,1
64334,1
66381,1
66384,1
66390,1
66522,1
66524,1
67001,1
67002,1
67004,1
67005,1
67006,1
67009,1
69193,1
69194,1
69195,1
69196,1
69197,1
69198,1
